sku,location,shopify_location_id,inventoryItemId,delta_qty_to_add,po_numbers
806993601435,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716721688886,10,PO-A090
806993601435,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716721688886,10,PO-A088
806993601435,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716721688886,10,PO-A087
806993601435,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716721688886,10,PO-A085
806993601435,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716721688886,10,PO-A083
806993601459,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716721721654,10,PO-A090
806993601459,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716721721654,10,PO-A089
806993601473,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716723949878,10,PO-A089
806993601473,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716723949878,10,PO-A083
806993601480,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716723982646,10,PO-A090
806993601480,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716723982646,10,PO-A087
806993601480,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716723982646,10,PO-A085
806993601497,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716724015414,10,PO-A094
806993601497,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716724015414,10,PO-A087
806993601534,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716724048182,10,PO-A094
806993601534,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716724048182,10,PO-A089
806993601534,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716724048182,10,PO-A088
806993601534,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716724048182,10,PO-A087
806993601534,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716724048182,10,PO-A083
806993601558,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716724080950,10,PO-A087
806993601565,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716724113718,10,PO-A089
806993601572,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716724146486,10,PO-A095
806993601572,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716724146486,10,PO-A091
806993601572,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716724146486,10,PO-A089
806993601572,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716724146486,10,PO-A087
806993601619,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716724212022,10,PO-A090
806993601619,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716724212022,10,PO-A089
806993601619,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716724212022,10,PO-A087
806993604597,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716623712566,3,PO-A096
806993604597,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716623712566,3,PO-A085
806993607871,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716671521078,10,PO-A097
806993607871,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716671521078,3,PO-A089
806993607871,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716671521078,3,PO-A086
806993607888,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716671553846,10,PO-A097
806993607888,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716671553846,3,PO-A086
806993607918,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716671586614,10,PO-A097
806993607918,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716671586614,3,PO-A087
806993607925,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716671619382,10,PO-A097
806993607925,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716671619382,3,PO-A094
806993607925,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716671619382,3,PO-A090
806993607956,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716676108598,10,PO-A097
806993607963,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716676141366,10,PO-A097
806993607963,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716676141366,3,PO-A083
806993607994,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716676174134,10,PO-A097
806993607994,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716676174134,3,PO-A095
